Instruments,Entry Timestamp,Entry Price,Exit Timestamp,Exit Price,Quantity,Lot Size,PnL per Lot,Cost per Lot,Net PnL per Lot,Exit Reason,Nearest Expiry Date,Days to Expiry,Expiry Day Flag,Month,Hold Time
"21700PE, 21750CE",2024-01-08 09:54:00,186.34500000000003,2024-01-08 10:30:00,178.1135,2,75,-617.3625000000005,27.951750000000004,-645.3142500000007,Trend Reversal,11JAN24,3,False,1,36.0
"21700CE, 21750PE",2024-01-08 10:35:00,225.43200000000002,2024-01-08 11:32:00,242.8545,2,75,1306.6874999999995,33.814800000000005,1272.8727,Trend Reversal,11JAN24,3,False,1,57.0
"21650PE, 21700CE",2024-01-08 11:34:00,181.7495,2024-01-08 13:05:00,188.4155,2,75,499.9499999999997,27.262425,472.6875749999997,Hold Time Exceeded,11JAN24,3,False,1,91.0
"21550PE, 21600CE",2024-01-08 14:45:00,182.5575,2024-01-08 15:21:00,187.55700000000002,2,75,374.9625000000009,27.383625,347.57887500000083,EOD,11JAN24,3,False,1,36.0
"21650PE, 21700CE",2024-01-09 09:58:00,155.0855,2024-01-09 11:29:00,151.8535,2,75,-242.40000000000032,23.262825,-265.6628250000001,Hold Time Exceeded,11JAN24,2,False,1,91.0
"21700CE, 21750PE",2024-01-09 11:31:00,197.45499999999998,2024-01-09 12:03:00,198.21249999999998,2,75,56.81250000000057,29.61825,27.194250000000523,Trend Reversal,11JAN24,2,False,1,32.0
"21700CE, 21750PE",2024-01-09 12:19:00,195.6875,2024-01-09 12:44:00,196.243,2,75,41.66250000000069,29.353125,12.30937500000069,Trend Reversal,11JAN24,2,False,1,25.0
"21700CE, 21750PE",2024-01-09 13:05:00,196.243,2024-01-09 14:28:00,236.744,2,75,3037.5750000000007,29.43645,3008.1385500000015,Profit Target Hit,11JAN24,2,False,1,83.0
"21600PE, 21650CE",2024-01-09 14:35:00,155.59050000000002,2024-01-09 14:45:00,159.984,2,75,329.5124999999998,23.338575,306.1739250000003,Trend Reversal,11JAN24,2,False,1,10.0
"21500CE, 21550PE",2024-01-10 09:41:00,193.5665,2024-01-10 10:47:00,183.9715,2,75,-719.6249999999998,29.034975,-748.6599749999998,Trend Reversal,11JAN24,1,False,1,66.0
"21550CE, 21600PE",2024-01-10 11:22:00,176.346,2024-01-10 12:53:00,189.779,2,75,1007.4749999999995,26.451900000000002,981.0230999999994,Hold Time Exceeded,11JAN24,1,False,1,91.0
"21500PE, 21550CE",2024-01-10 13:18:00,119.3315,2024-01-10 14:04:00,110.09,2,75,-693.1125000000008,17.899725000000004,-711.0122250000009,Stop Loss Hit,11JAN24,1,False,1,46.0
"21550CE, 21600PE",2024-01-10 14:17:00,165.3875,2024-01-10 14:50:00,153.015,2,75,-927.9374999999991,24.808125,-952.7456249999992,Stop Loss Hit,11JAN24,1,False,1,33.0
"21550CE, 21600PE",2024-01-10 14:51:00,154.2775,2024-01-10 15:05:00,185.3855,2,75,2333.0999999999995,23.141625,2309.9583749999993,Profit Target Hit,11JAN24,1,False,1,14.0
"21600CE, 21650PE",2024-01-10 15:06:00,147.157,2024-01-10 15:21:00,140.59199999999998,2,75,-492.37500000000034,22.07355,-514.4485500000004,EOD,11JAN24,1,False,1,15.0
"21750CE, 21800PE",2024-01-12 09:53:00,283.709,2024-01-12 11:05:00,312.595,2,75,2166.45,42.55635,2123.89365,Trend Reversal,18JAN24,6,False,1,72.0
"21850CE, 21900PE",2024-01-12 11:25:00,300.273,2024-01-12 12:37:00,295.62700000000007,2,75,-348.44999999999686,45.04095,-393.4909499999968,Trend Reversal,18JAN24,6,False,1,72.0
"21850CE, 21900PE",2024-01-12 12:50:00,295.1725,2024-01-12 13:23:00,296.839,2,75,124.98750000000086,44.275875,80.71162500000082,Trend Reversal,18JAN24,6,False,1,33.0
